,seconds_elapsed,longitude,latitude
128,82.22559326171876,25.5151558,65.0704406
129,82.78049438476563,25.5151437,65.0704319
130,83.33521240234376,25.5151304,65.0704229
131,83.8899609375,25.5151119,65.0704107
132,84.444892578125,25.5150997,65.0704021
133,84.99927465820312,25.5150879,65.0703944
134,85.5541455078125,25.5150764,65.0703823
135,86.10868334960938,25.5150705,65.0703751
136,86.66282153320313,25.5150639,65.0703685
137,87.2176005859375,25.5150572,65.0703622
138,87.7725322265625,25.5150452,65.070352
139,88.32706713867188,25.5150399,65.0703476
140,88.8811748046875,25.5150277,65.0703382
141,89.43601489257813,25.5150195,65.0703309
142,89.96053344726562,25.5150105,65.0703234
143,90.54459643554688,25.5149986,65.0703123
144,91.09916186523438,25.514991,65.0703056
145,91.65345556640624,25.5149843,65.0702978
146,92.20799047851564,25.514976,65.0702898
147,92.76267797851564,25.5149668,65.0702781
148,93.317212890625,25.5149631,65.0702726
149,93.871900390625,25.5149561,65.0702624
150,94.42677099609377,25.5149504,65.0702532
151,94.98118408203123,25.5149434,65.0702452
152,95.53611547851564,25.5149283,65.070234
153,96.09058935546877,25.5149178,65.0702268
154,96.64539599609375,25.5149088,65.0702196
155,97.16326025390624,25.5148991,65.0702127
156,97.75464892578124,25.5148846,65.0702009
157,98.30909204101565,25.5148789,65.0701967
158,98.86393212890626,25.5148679,65.070187
159,99.41849780273438,25.5148608,65.0701802
160,99.96433911132812,25.5148388,65.0701748
161,100.52775073242188,25.5148161,65.0701649
162,101.0824990234375,25.5148013,65.0701596
163,101.63692578125,25.5147903,65.0701527
164,102.18537084960936,25.5147789,65.0701466
165,102.74614819335936,25.5147643,65.070135
166,103.3010185546875,25.5147581,65.0701306
167,103.85567553710938,25.5147488,65.0701202
168,104.35655712890625,25.5147468,65.0701134
169,104.9324306640625,25.5147391,65.0701043
170,105.51958544921877,25.5147211,65.0700928
171,106.07415087890624,25.5147096,65.0700864
172,106.62906030273436,25.5147385,65.0700725
173,107.18350366210936,25.5147535,65.0700601
174,107.73800805664062,25.5147605,65.0700432
175,108.2924208984375,25.5147656,65.0700359
176,108.84607080078123,25.5147647,65.0700238
177,109.40094165039062,25.5147646,65.0700148
178,109.90150048828124,25.514762,65.0700059
179,110.51053002929687,25.5147553,65.0699931
180,111.06482104492189,25.5147521,65.0699857
181,111.619197265625,25.5147485,65.0699774
182,112.173548828125,25.5147449,65.0699699
183,112.72829736328126,25.5147416,65.0699616
184,113.28277124023438,25.514737,65.0699522
185,113.83706225585938,25.5147326,65.069941
186,114.39187182617188,25.5147317,65.0699332
187,114.90150048828124,25.5147298,65.0699256
188,115.50091088867188,25.5147281,65.0699176
189,116.05535424804688,25.5147258,65.0699093
190,116.609900390625,25.5147263,65.0699013
191,117.16428271484376,25.5147254,65.0698936
192,117.71863427734375,25.514736,65.0698841
193,118.27332177734375,25.5147405,65.0698755
194,118.82779565429688,25.5147491,65.0698663
195,119.35004174804688,25.5147555,65.0698577
196,119.9074912109375,25.5147575,65.069849
197,120.49106494140624,25.5147591,65.0698364
198,121.0455693359375,25.5147605,65.0698308
199,121.60044750976564,25.5147628,65.0698235
200,122.15516552734375,25.5147619,65.069816
201,122.70976123046874,25.5147623,65.0698071
202,123.26444873046874,25.5147615,65.0698017
203,123.818953125,25.5147592,65.0697919
204,124.34094775390624,25.5147587,65.0697875
205,124.90150048828124,25.5147547,65.0697771
206,125.48359545898435,25.514752,65.0697708
207,126.03828295898435,25.514748,65.0697639
208,126.59317822265623,25.514746,65.0697568
209,127.14737744140623,25.5147437,65.06975
210,127.70221752929687,25.5147443,65.0697434
211,128.25699658203126,25.5147427,65.0697366
212,128.82202319335937,25.5147408,65.0697295
213,129.35147924804687,25.5147386,65.0697227
214,129.90150048828124,25.5147345,65.0697127
215,130.40701733398438,25.5147338,65.0697112
216,130.95744311523438,25.5147298,65.0697041
217,131.46081518554686,25.5147265,65.0696976
218,132.02962280273437,25.5147208,65.069689
219,132.58461572265625,25.5147163,65.0696798
220,133.13918115234375,25.514713,65.0696754
221,133.69374633789062,25.5147093,65.0696663
